to_date	san_luong
2019-05-26	474
2019-05-27	1156
2019-05-28	757
2019-05-29	773
2019-05-30	700
2019-05-31	782
2019-06-01	665
2019-06-02	526
2019-06-03	962
2019-06-04	710
2019-06-05	898
2019-06-06	822
2019-06-07	791
2019-06-08	866
2019-06-09	661
2019-06-10	879
2019-06-11	1133
2019-06-12	860
2019-06-13	872
2019-06-14	826
2019-06-15	851
2019-06-16	679
2019-06-17	984
2019-06-18	1254
2019-06-19	876
2019-06-20	1112
2019-06-21	1115
2019-06-22	1115
2019-06-23	1115
2019-06-24	1115
2019-06-25	1115
2019-06-26	1115
2019-06-27	1115
2019-06-28	1115
2019-06-29	1115
2019-06-30	1115
2019-07-01	1115
2019-07-02	1115
2019-07-03	1115
2019-07-04	1115
